fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,red
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,1
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,1
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5,1
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,1
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,1
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,1
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5,1
7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,5,1
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,1
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,1
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,1
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5,1
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,1
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,1
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,1
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,1
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,1
9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,1
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5,1
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,1
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,1
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,1
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,1
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,1
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,1
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5,1
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,1
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,1
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,1
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5,1
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,1
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,1
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,1
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,1
7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5,1
6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5,1
8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5,1
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,1
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,1
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,1
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5,1
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,1
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,1
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,1
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,1
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,1
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,1
7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,1
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,1
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,1
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,1
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,1
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,1
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,1
6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5,1
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,1
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,1
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,1
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5,1
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,1
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,1
7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,1
8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5,1
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,1
8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5,1
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,1
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,1
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,1
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,1
8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5,1
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,1
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,1
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,1
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5,1
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5,1
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,1
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,1
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,1
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,1
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,1
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,1
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,1
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,1
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,1
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5,1
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,1
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,1
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,1
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,1
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,1
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,1
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,1
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5,1
7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,1
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,1
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,1
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,1
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,1
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,1
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,1
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,1
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,1
6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,1
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6,1
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,1
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,1
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,1
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,1
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6,1
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,1
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,1
6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6,1
9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6,1
6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,6,1
8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,1
6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6,1
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,1
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,1
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,1
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,1
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6,1
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,1
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6,1
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,1
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6,1
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,1
8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6,1
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667,6,1
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,1
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,1
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6,1
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,1
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,1
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,1
9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,1
6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,1
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,1
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6,1
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,1
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,1
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,1
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6,1
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,1
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,1
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,1
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,1
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,1
8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,1
7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,6,1
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,1
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,1
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6,1
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,1
7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6,1
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,1
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,1
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,1
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6,1
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,1
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6,1
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6,1
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,1
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6,1
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,1
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,1
6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6,1
7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6,1
8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,1
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,1
7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6,1
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,1
6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6,1
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,1
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,1
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,1
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,1
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,1
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,1
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,1
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6,1
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6,1
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,1
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,1
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,1
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6,1
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,1
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,1
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,1
6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6,1
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,1
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,1
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,1
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6,1
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,1
5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,1
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,1
8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,6,1
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,1
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,6,1
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,1
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,1
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7,1
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,1
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,1
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7,1
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,1
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,1
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7,1
8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7,1
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7,1
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7,1
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,1
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,1
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7,1
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,1
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,1
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,1
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,1
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,1
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,1
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,1
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,1
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,1
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,1
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,1
9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7,1
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,1
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,1
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,1
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7,1
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,1
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,1
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7,1
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,1
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7,1
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7,1
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7,1
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7,1
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,1
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,1
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,1
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,1
7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,7,1
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,1
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,1
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7,1
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,1
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,1
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,1
9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7,1
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,1
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,7,1
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7,1
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7,1
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,1
8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7,1
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7,1
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,1
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7,1
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7,1
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,1
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7,1
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7,1
6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7,1
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7,1
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7,1
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,1
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,1
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,1
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7,1
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7,1
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,1
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,1
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,1
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7,1
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7,1
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,1
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,1
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,1
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7,1
8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,1
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,1
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,1
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,1
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7,1
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,7,1
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7,1
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,1
7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,1
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,1
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7,1
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,1
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7,1
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7,1
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7,1
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7,1
6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5,0
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5,0
